feature,importance
state_mean,0.45607036
drug_std,0.19104066
drug_median,0.13572197
year_y,0.07181011
drug_mean,0.06617511
state_total,0.01781152
days_per_claim,0.015902506
units_per_rx,0.010402215
Q2,0.009594683
total_day_supply,0.008771605
Q1,0.003996419
Q4,0.0027951475
cost_per_day_supply,0.0027132505
total_claims,0.001738902
prescriber_count,0.0014490057
Q3,0.001340703
total_drug_cost,0.0010773671
cost_per_claim,0.0010767016
total_30day_fills,0.0005117477
year_x,0.0
prescriber_density,0.0
log_total_claims,0.0
log_total_30day_fills,0.0
log_total_day_supply,0.0
log_prescriber_density,0.0
