iter	Logloss
0	0.6532249436
1	0.6186967403
2	0.5860909988
3	0.5576506862
4	0.53419017
5	0.5131887647
6	0.4948600349
7	0.4776875946
8	0.4629836142
9	0.4496536031
10	0.4373692941
11	0.4269414152
12	0.4176166691
13	0.4089786719
14	0.4013635256
15	0.3950072932
16	0.3894041711
17	0.3844654367
18	0.3798820454
19	0.3760288575
20	0.3723851306
21	0.3690250291
22	0.3658505728
23	0.3632022586
24	0.3606949285
25	0.3586305014
26	0.3565694062
27	0.3548734435
28	0.3531793575
29	0.3518683992
30	0.3505364261
31	0.3493698156
32	0.3483271967
33	0.3473376263
34	0.346506194
35	0.3455815433
36	0.3448056466
37	0.3441435682
38	0.3434775191
39	0.3428564307
40	0.3421512181
41	0.3416422448
42	0.3411072025
43	0.3406357221
44	0.3401836634
45	0.33982546
46	0.3393256411
47	0.3389412087
48	0.3385036537
49	0.3382336078
50	0.3379516202
51	0.3377197168
52	0.3375264057
53	0.3372190315
54	0.3370083734
55	0.3367724182
56	0.3365722365
57	0.3363893047
58	0.3361592512
59	0.3359146065
60	0.3357623007
61	0.3355867253
62	0.335416461
63	0.3352642819
64	0.335078704
65	0.334915362
66	0.3347533852
67	0.3346018868
68	0.3344595348
69	0.3343552894
70	0.3342025578
71	0.3340330837
72	0.3339061829
73	0.3338056027
74	0.3336270495
75	0.3335232636
76	0.3334021118
77	0.3333240945
78	0.33314027
79	0.3330608709
80	0.3329008098
81	0.3328148662
82	0.3326778787
83	0.3325310417
84	0.3324108506
85	0.3322979272
86	0.3322079457
87	0.3321277172
88	0.3320503399
89	0.3319997474
90	0.3318659318
91	0.3317772875
92	0.3316689425
93	0.3315033468
94	0.3314093296
95	0.3313180668
96	0.3311600553
97	0.3310448583
98	0.33095569
99	0.3308392959
100	0.3307232792
101	0.3306657843
102	0.3305781064
103	0.3304620039
104	0.3304137837
105	0.3303365185
106	0.3302297355
107	0.3301341983
108	0.3301060922
109	0.3300049528
110	0.3299686344
111	0.3298984213
112	0.3298298643
113	0.329760558
114	0.3297029867
115	0.3296367045
