iter	Passed	Remaining
0	18	9172
1	36	9031
2	54	8993
3	73	9082
4	90	8999
5	110	9126
6	125	8815
7	140	8647
8	157	8606
9	193	9472
10	217	9668
11	235	9590
12	253	9497
13	272	9460
14	290	9394
15	308	9319
16	325	9253
17	350	9381
18	374	9474
19	391	9403
20	410	9363
21	431	9366
22	450	9342
23	467	9270
24	484	9202
25	503	9183
26	525	9197
27	543	9166
28	561	9111
29	572	8968
30	589	8919
31	608	8892
32	630	8920
33	656	8994
34	677	8996
35	697	8992
36	725	9084
37	751	9134
38	780	9220
39	806	9276
40	835	9353
41	860	9384
42	888	9442
43	914	9481
44	970	9817
45	1008	9951
46	1038	10006
47	1071	10092
48	1097	10098
49	1120	10088
50	1146	10090
51	1172	10101
52	1200	10122
53	1230	10165
54	1263	10222
55	1301	10318
56	1330	10339
57	1359	10362
58	1392	10405
59	1416	10384
60	1444	10396
61	1475	10422
62	1502	10425
63	1530	10426
64	1565	10474
65	1597	10504
66	1624	10495
67	1647	10463
68	1671	10439
69	1695	10412
70	1720	10394
71	1743	10361
72	1768	10345
73	1793	10322
74	1818	10305
75	1846	10299
76	1871	10281
77	1894	10251
78	1919	10227
79	1946	10220
80	1972	10204
81	1998	10187
82	2022	10161
83	2046	10134
84	2070	10107
85	2095	10087
86	2119	10060
87	2141	10028
88	2164	9993
89	2190	9981
90	2215	9958
91	2239	9930
92	2266	9921
93	2309	9975
94	2361	10069
95	2426	10210
96	2465	10241
97	2499	10252
98	2528	10240
99	2565	10260
100	2588	10225
101	2611	10188
102	2635	10157
103	2656	10113
104	2676	10069
105	2696	10021
106	2714	9969
107	2732	9918
108	2752	9875
109	2773	9833
110	2790	9780
111	2810	9735
112	2861	9801
113	2898	9814
114	2942	9851
115	2980	9867
